# Odd number information

# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `m*`      the prime residues of n modulo a set of primes
# `factors` the prime factors of n

    n,      base3,           base2, dist,        nl,        nr, m3, m5, m7, m11, m13, m17, factors
 2921,   11000012,    101101101001,   26,   (365 3),  (1461 1), 2,  1,  2,  6,   9,   14,  {23 127}
 2923,   11000021,    101101101011,   50,  (1461 1),   (731 2), 1,  3,  4,  8,   11,  16,  {37 79}
 2925,   11000100,    101101101101,   50,   (731 2),  (1463 1), 0,  0,  6,  10,  0,   1,   {3 5 13}
 2927,   11000102,    101101101111,   62,  (1463 1),   (183 4), 2,  2,  1,  1,   2,   3,   {2927}
 2929,   11000111,    101101110001,   33,   (183 4),  (1465 1), 1,  4,  3,  3,   4,   5,   {29 101}
 2931,   11000120,    101101110011,    9,  (1465 1),   (733 2), 0,  1,  5,  5,   6,   7,   {3 977}
 2933,   11000122,    101101110101,   33,   (733 2),  (1467 1), 2,  3,  0,  7,   8,   9,   {7 419}
 2935,   11000201,    101101110111,   50,  (1467 1),   (367 3), 1,  0,  2,  9,   10,  11,  {5 587}
 2937,   11000210,    101101111001,   16,   (367 3),  (1469 1), 0,  2,  4,  0,   12,  13,  {3 11 89}
 2939,   11000212,    101101111011,   26,  (1469 1),   (735 2), 2,  4,  6,  2,   1,   15,  {2939}
 2941,   11000221,    101101111101,   14,   (735 2),  (1471 1), 1,  1,  1,  4,   3,   0,   {17 173}
 2943,   11001000,    101101111111,   62,  (1471 1),    (23 7), 0,  3,  3,  6,   5,   2,   {3 109}
 2945,   11001002,    101110000001,   26,    (23 7),  (1473 1), 2,  0,  5,  8,   7,   4,   {5 19 31}
 2947,   11001011,    101110000011,   33,  (1473 1),   (737 2), 1,  2,  0,  10,  9,   6,   {7 421}
 2949,   11001020,    101110000101,   50,   (737 2),  (1475 1), 0,  4,  2,  1,   11,  8,   {3 983}
 2951,   11001022,    101110000111,   33,  (1475 1),   (369 3), 2,  1,  4,  3,   0,   10,  {13 227}
 2953,   11001101,    101110001001,   43,   (369 3),  (1477 1), 1,  3,  6,  5,   2,   12,  {2953}
 2955,   11001110,    101110001011,   50,  (1477 1),   (739 2), 0,  0,  1,  7,   4,   14,  {3 5 197}
 2957,   11001112,    101110001101,    4,   (739 2),  (1479 1), 2,  2,  3,  9,   6,   16,  {2957}
 2959,   11001121,    101110001111,   33,  (1479 1),   (185 4), 1,  4,  5,  0,   8,   1,   {11 269}
 2961,   11001200,    101110010001,    9,   (185 4),  (1481 1), 0,  1,  0,  2,   10,  3,   {3 7 47}
 2963,   11001202,    101110010011,    9,  (1481 1),   (741 2), 2,  3,  2,  4,   12,  5,   {2963}
 2965,   11001211,    101110010101,   14,   (741 2),  (1483 1), 1,  0,  4,  6,   1,   7,   {5 593}
 2967,   11001220,    101110010111,   50,  (1483 1),   (371 3), 0,  2,  6,  8,   3,   9,   {3 23 43}
 2969,   11001222,    101110011001,   50,   (371 3),  (1485 1), 2,  4,  1,  10,  5,   11,  {2969}
 2971,   11002001,    101110011011,   14,  (1485 1),   (743 2), 1,  1,  3,  1,   7,   13,  {2971}
 2973,   11002010,    101110011101,   33,   (743 2),  (1487 1), 0,  3,  5,  3,   9,   15,  {3 991}
 2975,   11002012,    101110011111,   14,  (1487 1),    (93 5), 2,  0,  0,  5,   11,  0,   {5 7 17}
 2977,   11002021,    101110100001,   50,    (93 5),  (1489 1), 1,  2,  2,  7,   0,   2,   {13 229}
 2979,   11002100,    101110100011,   14,  (1489 1),   (745 2), 0,  4,  4,  9,   2,   4,   {3 331}
 2981,   11002102,    101110100101,   31,   (745 2),  (1491 1), 2,  1,  6,  0,   4,   6,   {11 271}
 2983,   11002111,    101110100111,   50,  (1491 1),   (373 3), 1,  3,  1,  2,   6,   8,   {19 157}
 2985,   11002120,    101110101001,   50,   (373 3),  (1493 1), 0,  0,  3,  4,   8,   10,  {3 5 199}
 2987,   11002122,    101110101011,   14,  (1493 1),   (747 2), 2,  2,  5,  6,   10,  12,  {29 103}
 2989,   11002201,    101110101101,   14,   (747 2),  (1495 1), 1,  4,  0,  8,   12,  14,  {7 61}
 2991,   11002210,    101110101111,   14,  (1495 1),   (187 4), 0,  1,  2,  10,  1,   16,  {3 997}
 2993,   11002212,    101110110001,   14,   (187 4),  (1497 1), 2,  3,  4,  1,   3,   1,   {41 73}
 2995,   11002221,    101110110011,   14,  (1497 1),   (749 2), 1,  0,  6,  3,   5,   3,   {5 599}
 2997,   11010000,    101110110101,   14,   (749 2),  (1499 1), 0,  2,  1,  5,   7,   5,   {3 37}
 2999,   11010002,    101110110111,   14,  (1499 1),   (375 3), 2,  4,  3,  7,   9,   7,   {2999}
 3001,   11010011,    101110111001,   11,   (375 3),  (1501 1), 1,  1,  5,  9,   11,  9,   {3001}
 3003,   11010020,    101110111011,   11,  (1501 1),   (751 2), 0,  3,  0,  0,   0,   11,  {3 7 11 13}
 3005,   11010022,    101110111101,   50,   (751 2),  (1503 1), 2,  0,  2,  2,   2,   13,  {5 601}
 3007,   11010101,    101110111111,   55,  (1503 1),    (47 6), 1,  2,  4,  4,   4,   15,  {31 97}
 3009,   11010110,    101111000001,   11,    (47 6),  (1505 1), 0,  4,  6,  6,   6,   0,   {3 17 59}
 3011,   11010112,    101111000011,   11,  (1505 1),   (753 2), 2,  1,  1,  8,   8,   2,   {3011}
 3013,   11010121,    101111000101,    4,   (753 2),  (1507 1), 1,  3,  3,  10,  10,  4,   {23 131}
 3015,   11010200,    101111000111,   31,  (1507 1),   (377 3), 0,  0,  5,  1,   12,  6,   {3 5 67}
 3017,   11010202,    101111001001,   11,   (377 3),  (1509 1), 2,  2,  0,  3,   1,   8,   {7 431}
 3019,   11010211,    101111001011,   21,  (1509 1),   (755 2), 1,  4,  2,  5,   3,   10,  {3019}
 3021,   11010220,    101111001101,   21,   (755 2),  (1511 1), 0,  1,  4,  7,   5,   12,  {3 19 53}
 3023,   11010222,    101111001111,   31,  (1511 1),   (189 4), 2,  3,  6,  9,   7,   14,  {3023}
 3025,   11011001,    101111010001,   21,   (189 4),  (1513 1), 1,  0,  1,  0,   9,   16,  {5 11}
 3027,   11011010,    101111010011,   21,  (1513 1),   (757 2), 0,  2,  3,  2,   11,  1,   {3 1009}
 3029,   11011012,    101111010101,   38,   (757 2),  (1515 1), 2,  4,  5,  4,   0,   3,   {13 233}
 3031,   11011021,    101111010111,   50,  (1515 1),   (379 3), 1,  1,  0,  6,   2,   5,   {7 433}
 3033,   11011100,    101111011001,    4,   (379 3),  (1517 1), 0,  3,  2,  8,   4,   7,   {3 337}
 3035,   11011102,    101111011011,   55,  (1517 1),   (759 2), 2,  0,  4,  10,  6,   9,   {5 607}
 3037,   11011111,    101111011101,   19,   (759 2),  (1519 1), 1,  2,  6,  1,   8,   11,  {3037}
 3039,   11011120,    101111011111,   55,  (1519 1),    (95 5), 0,  4,  1,  3,   10,  13,  {3 1013}
 3041,   11011122,    101111100001,   55,    (95 5),  (1521 1), 2,  1,  3,  5,   12,  15,  {3041}
 3043,   11011201,    101111100011,   38,  (1521 1),   (761 2), 1,  3,  5,  7,   1,   0,   {17 179}
 3045,   11011210,    101111100101,    9,   (761 2),  (1523 1), 0,  0,  0,  9,   3,   2,   {3 5 7 29}
 3047,   11011212,    101111100111,   19,  (1523 1),   (381 3), 2,  2,  2,  0,   5,   4,   {11 277}
 3049,   11011221,    101111101001,   43,   (381 3),  (1525 1), 1,  4,  4,  2,   7,   6,   {3049}
 3051,   11012000,    101111101011,   55,  (1525 1),   (763 2), 0,  1,  6,  4,   9,   8,   {3 113}
 3053,   11012002,    101111101101,   55,   (763 2),  (1527 1), 2,  3,  1,  6,   11,  10,  {43 71}
 3055,   11012011,    101111101111,   31,  (1527 1),   (191 4), 1,  0,  3,  8,   0,   12,  {5 13 47}
 3057,   11012020,    101111110001,   38,   (191 4),  (1529 1), 0,  2,  5,  10,  2,   14,  {3 1019}
 3059,   11012022,    101111110011,   19,  (1529 1),   (765 2), 2,  4,  0,  1,   4,   16,  {7 19 23}
 3061,   11012101,    101111110101,   14,   (765 2),  (1531 1), 1,  1,  2,  3,   6,   1,   {3061}
 3063,   11012110,    101111110111,   19,  (1531 1),   (383 3), 0,  3,  4,  5,   8,   3,   {3 1021}
 3065,   11012112,    101111111001,   55,   (383 3),  (1533 1), 2,  0,  6,  7,   10,  5,   {5 613}
 3067,   11012121,    101111111011,   19,  (1533 1),   (767 2), 1,  2,  1,  9,   12,  7,   {3067}
 3069,   11012200,    101111111101,   19,   (767 2),  (1535 1), 0,  4,  3,  0,   1,   9,   {3 11 31}
 3071,   11012202,    101111111111,   55,  (1535 1),    (3 10), 2,  1,  5,  2,   3,   11,  {37 83}
 3073,   11012211,    110000000001,   38,    (3 10),  (1537 1), 1,  3,  0,  4,   5,   13,  {7 439}
 3075,   11012220,    110000000011,   55,  (1537 1),   (769 2), 0,  0,  2,  6,   7,   15,  {3 5 41}
 3077,   11012222,    110000000101,    9,   (769 2),  (1539 1), 2,  2,  4,  8,   9,   0,   {17 181}
 3079,   11020001,    110000000111,   55,  (1539 1),   (385 3), 1,  4,  6,  10,  11,  2,   {3079}
 3081,   11020010,    110000001001,   55,   (385 3),  (1541 1), 0,  1,  1,  1,   0,   4,   {3 13 79}
 3083,   11020012,    110000001011,    9,  (1541 1),   (771 2), 2,  3,  3,  3,   2,   6,   {3083}
 3085,   11020021,    110000001101,    9,   (771 2),  (1543 1), 1,  0,  5,  5,   4,   8,   {5 617}
 3087,   11020100,    110000001111,   38,  (1543 1),   (193 4), 0,  2,  0,  7,   6,   10,  {3 7}
 3089,   11020102,    110000010001,    9,   (193 4),  (1545 1), 2,  4,  2,  9,   8,   12,  {3089}
 3091,   11020111,    110000010011,   19,  (1545 1),   (773 2), 1,  1,  4,  0,   10,  14,  {11 281}
 3093,   11020120,    110000010101,   43,   (773 2),  (1547 1), 0,  3,  6,  2,   12,  16,  {3 1031}
 3095,   11020122,    110000010111,    9,  (1547 1),   (387 3), 2,  0,  1,  4,   1,   1,   {5 619}
 3097,   11020201,    110000011001,   67,   (387 3),  (1549 1), 1,  2,  3,  6,   3,   3,   {19 163}
 3099,   11020210,    110000011011,   48,  (1549 1),   (775 2), 0,  4,  5,  8,   5,   5,   {3 1033}
 3101,   11020212,    110000011101,   55,   (775 2),  (1551 1), 2,  1,  0,  10,  7,   7,   {7 443}
 3103,   11020221,    110000011111,   31,  (1551 1),    (97 5), 1,  3,  2,  1,   9,   9,   {29 107}
 3105,   11021000,    110000100001,   55,    (97 5),  (1553 1), 0,  0,  4,  3,   11,  11,  {3 5 23}
 3107,   11021002,    110000100011,   43,  (1553 1),   (777 2), 2,  2,  6,  5,   0,   13,  {13 239}
 3109,   11021011,    110000100101,    9,   (777 2),  (1555 1), 1,  4,  1,  7,   2,   15,  {3109}
 3111,   11021020,    110000100111,    9,  (1555 1),   (389 3), 0,  1,  3,  9,   4,   0,   {3 17 61}
 3113,   11021022,    110000101001,   31,   (389 3),  (1557 1), 2,  3,  5,  0,   6,   2,   {11 283}
 3115,   11021101,    110000101011,   19,  (1557 1),   (779 2), 1,  0,  0,  2,   8,   4,   {5 7 89}
 3117,   11021110,    110000101101,   19,   (779 2),  (1559 1), 0,  2,  2,  4,   10,  6,   {3 1039}
 3119,   11021112,    110000101111,   14,  (1559 1),   (195 4), 2,  4,  4,  6,   12,  8,   {3119}
 3121,   11021121,    110000110001,   19,   (195 4),  (1561 1), 1,  1,  6,  8,   1,   10,  {3121}
 3123,   11021200,    110000110011,   19,  (1561 1),   (781 2), 0,  3,  1,  10,  3,   12,  {3 347}
 3125,   11021202,    110000110101,   43,   (781 2),  (1563 1), 2,  0,  3,  1,   5,   14,  {5}
 3127,   11021211,    110000110111,   55,  (1563 1),   (391 3), 1,  2,  5,  3,   7,   16,  {53 59}
 3129,   11021220,    110000111001,   38,   (391 3),  (1565 1), 0,  4,  0,  5,   9,   1,   {3 7 149}
 3131,   11021222,    110000111011,   38,  (1565 1),   (783 2), 2,  1,  2,  7,   11,  3,   {31 101}
 3133,   11022001,    110000111101,   43,   (783 2),  (1567 1), 1,  3,  4,  9,   0,   5,   {13 241}
 3135,   11022010,    110000111111,   19,  (1567 1),    (49 6), 0,  0,  6,  0,   2,   7,   {3 5 11 19}
 3137,   11022012,    110001000001,    9,    (49 6),  (1569 1), 2,  2,  1,  2,   4,   9,   {3137}
 3139,   11022021,    110001000011,    9,  (1569 1),   (785 2), 1,  4,  3,  4,   6,   11,  {43 73}
 3141,   11022100,    110001000101,   43,   (785 2),  (1571 1), 0,  1,  5,  6,   8,   13,  {3 349}
 3143,   11022102,    110001000111,   36,  (1571 1),   (393 3), 2,  3,  0,  8,   10,  15,  {7 449}
 3145,   11022111,    110001001001,   19,   (393 3),  (1573 1), 1,  0,  2,  10,  12,  0,   {5 17 37}
 3147,   11022120,    110001001011,   43,  (1573 1),   (787 2), 0,  2,  4,  1,   1,   2,   {3 1049}
 3149,   11022122,    110001001101,   19,   (787 2),  (1575 1), 2,  4,  6,  3,   3,   4,   {47 67}
 3151,   11022201,    110001001111,   19,  (1575 1),   (197 4), 1,  1,  1,  5,   5,   6,   {23 137}
 3153,   11022210,    110001010001,   19,   (197 4),  (1577 1), 0,  3,  3,  7,   7,   8,   {3 1051}
 3155,   11022212,    110001010011,   31,  (1577 1),   (789 2), 2,  0,  5,  9,   9,   10,  {5 631}
 3157,   11022221,    110001010101,    7,   (789 2),  (1579 1), 1,  2,  0,  0,   11,  12,  {7 11 41}
 3159,   11100000,    110001010111,   43,  (1579 1),   (395 3), 0,  4,  2,  2,   0,   14,  {3 13}
 3161,   11100002,    110001011001,   55,   (395 3),  (1581 1), 2,  1,  4,  4,   2,   16,  {29 109}
 3163,   11100011,    110001011011,   16,  (1581 1),   (791 2), 1,  3,  6,  6,   4,   1,   {3163}
 3165,   11100020,    110001011101,   26,   (791 2),  (1583 1), 0,  0,  1,  8,   6,   3,   {3 5 211}
 3167,   11100022,    110001011111,   60,  (1583 1),    (99 5), 2,  2,  3,  10,  8,   5,   {3167}
 3169,   11100101,    110001100001,   16,    (99 5),  (1585 1), 1,  4,  5,  1,   10,  7,   {3169}
 3171,   11100110,    110001100011,   26,  (1585 1),   (793 2), 0,  1,  0,  3,   12,  9,   {3 7 151}
 3173,   11100112,    110001100101,   26,   (793 2),  (1587 1), 2,  3,  2,  5,   1,   11,  {19 167}
 3175,   11100121,    110001100111,   72,  (1587 1),   (397 3), 1,  0,  4,  7,   3,   13,  {5 127}
 3177,   11100200,    110001101001,   16,   (397 3),  (1589 1), 0,  2,  6,  9,   5,   15,  {3 353}
 3179,   11100202,    110001101011,   26,  (1589 1),   (795 2), 2,  4,  1,  0,   7,   0,   {11 17}
 3181,   11100211,    110001101101,   36,   (795 2),  (1591 1), 1,  1,  3,  2,   9,   2,   {3181}
 3183,   11100220,    110001101111,   19,  (1591 1),   (199 4), 0,  3,  5,  4,   11,  4,   {3 1061}
 3185,   11100222,    110001110001,    7,   (199 4),  (1593 1), 2,  0,  0,  6,   0,   6,   {5 7 13}
 3187,   11101001,    110001110011,   43,  (1593 1),   (797 2), 1,  2,  2,  8,   2,   8,   {3187}
 3189,   11101010,    110001110101,   43,   (797 2),  (1595 1), 0,  4,  4,  10,  4,   10,  {3 1063}
 3191,   11101012,    110001110111,   24,  (1595 1),   (399 3), 2,  1,  6,  1,   6,   12,  {3191}
 3193,   11101021,    110001111001,    9,   (399 3),  (1597 1), 1,  3,  1,  3,   8,   14,  {31 103}
 3195,   11101100,    110001111011,   24,  (1597 1),   (799 2), 0,  0,  3,  5,   10,  16,  {3 5 71}
 3197,   11101102,    110001111101,   24,   (799 2),  (1599 1), 2,  2,  5,  7,   12,  1,   {23 139}
 3199,   11101111,    110001111111,   60,  (1599 1),    (25 7), 1,  4,  0,  9,   1,   3,   {7 457}
 3201,   11101120,    110010000001,   60,    (25 7),  (1601 1), 0,  1,  2,  0,   3,   5,   {3 11 97}
 3203,   11101122,    110010000011,   19,  (1601 1),   (801 2), 2,  3,  4,  2,   5,   7,   {3203}
 3205,   11101201,    110010000101,   19,   (801 2),  (1603 1), 1,  0,  6,  4,   7,   9,   {5 641}
 3207,   11101210,    110010000111,   14,  (1603 1),   (401 3), 0,  2,  1,  6,   9,   11,  {3 1069}
 3209,   11101212,    110010001001,   24,   (401 3),  (1605 1), 2,  4,  3,  8,   11,  13,  {3209}
 3211,   11101221,    110010001011,   43,  (1605 1),   (803 2), 1,  1,  5,  10,  0,   15,  {13 19}
 3213,   11102000,    110010001101,    4,   (803 2),  (1607 1), 0,  3,  0,  1,   2,   0,   {3 7 17}
 3215,   11102002,    110010001111,   60,  (1607 1),   (201 4), 2,  0,  2,  3,   4,   2,   {5 643}
 3217,   11102011,    110010010001,   24,   (201 4),  (1609 1), 1,  2,  4,  5,   6,   4,   {3217}
 3219,   11102020,    110010010011,   24,  (1609 1),   (805 2), 0,  4,  6,  7,   8,   6,   {3 29 37}
 3221,   11102022,    110010010101,    4,   (805 2),  (1611 1), 2,  1,  1,  9,   10,  8,   {3221}
 3223,   11102101,    110010010111,    4,  (1611 1),   (403 3), 1,  3,  3,  0,   12,  10,  {11 293}
 3225,   11102110,    110010011001,   19,   (403 3),  (1613 1), 0,  0,  5,  2,   1,   12,  {3 5 43}
 3227,   11102112,    110010011011,   36,  (1613 1),   (807 2), 2,  2,  0,  4,   3,   14,  {7 461}
 3229,   11102121,    110010011101,   24,   (807 2),  (1615 1), 1,  4,  2,  6,   5,   16,  {3229}
 3231,   11102200,    110010011111,   60,  (1615 1),   (101 5), 0,  1,  4,  8,   7,   1,   {3 359}
 3233,   11102202,    110010100001,   60,   (101 5),  (1617 1), 2,  3,  6,  10,  9,   3,   {53 61}
 3235,   11102211,    110010100011,   14,  (1617 1),   (809 2), 1,  0,  1,  1,   11,  5,   {5 647}
 3237,   11102220,    110010100101,   14,   (809 2),  (1619 1), 0,  2,  3,  3,   0,   7,   {3 13 83}
 3239,   11102222,    110010100111,   43,  (1619 1),   (405 3), 2,  4,  5,  5,   2,   9,   {41 79}
 3241,   11110001,    110010101001,   60,   (405 3),  (1621 1), 1,  1,  0,  7,   4,   11,  {7 463}
 3243,   11110010,    110010101011,   14,  (1621 1),   (811 2), 0,  3,  2,  9,   6,   13,  {3 23 47}
 3245,   11110012,    110010101101,   48,   (811 2),  (1623 1), 2,  0,  4,  0,   8,   15,  {5 11 59}
 3247,   11110021,    110010101111,   14,  (1623 1),   (203 4), 1,  2,  6,  2,   10,  0,   {17 191}
 3249,   11110100,    110010110001,   48,   (203 4),  (1625 1), 0,  4,  1,  4,   12,  2,   {3 19}
 3251,   11110102,    110010110011,   48,  (1625 1),   (813 2), 2,  1,  3,  6,   1,   4,   {3251}
 3253,   11110111,    110010110101,   12,   (813 2),  (1627 1), 1,  3,  5,  8,   3,   6,   {3253}
 3255,   11110120,    110010110111,   24,  (1627 1),   (407 3), 0,  0,  0,  10,  5,   8,   {3 5 7 31}
 3257,   11110122,    110010111001,   14,   (407 3),  (1629 1), 2,  2,  2,  1,   7,   10,  {3257}
 3259,   11110201,    110010111011,   14,  (1629 1),   (815 2), 1,  4,  4,  3,   9,   12,  {3259}
 3261,   11110210,    110010111101,   48,   (815 2),  (1631 1), 0,  1,  6,  5,   11,  14,  {3 1087}
 3263,   11110212,    110010111111,   24,  (1631 1),    (51 6), 2,  3,  1,  7,   0,   16,  {13 251}
 3265,   11110221,    110011000001,   48,    (51 6),  (1633 1), 1,  0,  3,  9,   2,   1,   {5 653}
 3267,   11111000,    110011000011,   48,  (1633 1),   (817 2), 0,  2,  5,  0,   4,   3,   {3 11}
 3269,   11111002,    110011000101,   12,   (817 2),  (1635 1), 2,  4,  0,  2,   6,   5,   {7 467}
 3271,   11111011,    110011000111,   48,  (1635 1),   (409 3), 1,  1,  2,  4,   8,   7,   {3271}
 3273,   11111020,    110011001001,   48,   (409 3),  (1637 1), 0,  3,  4,  6,   10,  9,   {3 1091}
 3275,   11111022,    110011001011,   48,  (1637 1),   (819 2), 2,  0,  6,  8,   12,  11,  {5 131}
 3277,   11111101,    110011001101,   12,   (819 2),  (1639 1), 1,  2,  1,  10,  1,   13,  {29 113}
 3279,   11111110,    110011001111,   36,  (1639 1),   (205 4), 0,  4,  3,  1,   3,   15,  {3 1093}
 3281,   11111112,    110011010001,   24,   (205 4),  (1641 1), 2,  1,  5,  3,   5,   0,   {17 193}
 3283,   11111121,    110011010011,   24,  (1641 1),   (821 2), 1,  3,  0,  5,   7,   2,   {7 67}
 3285,   11111200,    110011010101,    7,   (821 2),  (1643 1), 0,  0,  2,  7,   9,   4,   {3 5 73}
 3287,   11111202,    110011010111,   24,  (1643 1),   (411 3), 2,  2,  4,  9,   11,  6,   {19 173}
 3289,   11111211,    110011011001,   48,   (411 3),  (1645 1), 1,  4,  6,  0,   0,   8,   {11 13 23}
 3291,   11111220,    110011011011,   48,  (1645 1),   (823 2), 0,  1,  1,  2,   2,   10,  {3 1097}
 3293,   11111222,    110011011101,   48,   (823 2),  (1647 1), 2,  3,  3,  4,   4,   12,  {37 89}
 3295,   11112001,    110011011111,   48,  (1647 1),   (103 5), 1,  0,  5,  6,   6,   14,  {5 659}
 3297,   11112010,    110011100001,   43,   (103 5),  (1649 1), 0,  2,  0,  8,   8,   16,  {3 7 157}
 3299,   11112012,    110011100011,    7,  (1649 1),   (825 2), 2,  4,  2,  10,  10,  1,   {3299}
 3301,   11112021,    110011100101,   48,   (825 2),  (1651 1), 1,  1,  4,  1,   12,  3,   {3301}
 3303,   11112100,    110011100111,   24,  (1651 1),   (413 3), 0,  3,  6,  3,   1,   5,   {3 367}
 3305,   11112102,    110011101001,   14,   (413 3),  (1653 1), 2,  0,  1,  5,   3,   7,   {5 661}
 3307,   11112111,    110011101011,   24,  (1653 1),   (827 2), 1,  2,  3,  7,   5,   9,   {3307}
 3309,   11112120,    110011101101,   12,   (827 2),  (1655 1), 0,  4,  5,  9,   7,   11,  {3 1103}
 3311,   11112122,    110011101111,   60,  (1655 1),   (207 4), 2,  1,  0,  0,   9,   13,  {7 11 43}
 3313,   11112201,    110011110001,   31,   (207 4),  (1657 1), 1,  3,  2,  2,   11,  15,  {3313}
 3315,   11112210,    110011110011,   24,  (1657 1),   (829 2), 0,  0,  4,  4,   0,   0,   {3 5 13 17}
 3317,   11112212,    110011110101,   31,   (829 2),  (1659 1), 2,  2,  6,  6,   2,   2,   {31 107}
 3319,   11112221,    110011110111,   12,  (1659 1),   (415 3), 1,  4,  1,  8,   4,   4,   {3319}
 3321,   11120000,    110011111001,   36,   (415 3),  (1661 1), 0,  1,  3,  10,  6,   6,   {3 41}
 3323,   11120002,    110011111011,   41,  (1661 1),   (831 2), 2,  3,  5,  1,   8,   8,   {3323}
 3325,   11120011,    110011111101,   48,   (831 2),  (1663 1), 1,  0,  0,  3,   10,  10,  {5 7 19}
 3327,   11120020,    110011111111,   24,  (1663 1),    (13 8), 0,  2,  2,  5,   12,  12,  {3 1109}
 3329,   11120022,    110100000001,   31,    (13 8),  (1665 1), 2,  4,  4,  7,   1,   14,  {3329}
 3331,   11120101,    110100000011,   65,  (1665 1),   (833 2), 1,  1,  6,  9,   3,   16,  {3331}
 3333,   11120110,    110100000101,    7,   (833 2),  (1667 1), 0,  3,  1,  0,   5,   1,   {3 11 101}
 3335,   11120112,    110100000111,   65,  (1667 1),   (417 3), 2,  0,  3,  2,   7,   3,   {5 23 29}
 3337,   11120121,    110100001001,   21,   (417 3),  (1669 1), 1,  2,  5,  4,   9,   5,   {47 71}
 3339,   11120200,    110100001011,   31,  (1669 1),   (835 2), 0,  4,  0,  6,   11,  7,   {3 7 53}
 3341,   11120202,    110100001101,   48,   (835 2),  (1671 1), 2,  1,  2,  8,   0,   9,   {13 257}
 3343,   11120211,    110100001111,   12,  (1671 1),   (209 4), 1,  3,  4,  10,  2,   11,  {3343}
 3345,   11120220,    110100010001,   48,   (209 4),  (1673 1), 0,  0,  6,  1,   4,   13,  {3 5 223}
 3347,   11120222,    110100010011,   31,  (1673 1),   (837 2), 2,  2,  1,  3,   6,   15,  {3347}
 3349,   11121001,    110100010101,   12,   (837 2),  (1675 1), 1,  4,  3,  5,   8,   0,   {17 197}
 3351,   11121010,    110100010111,   48,  (1675 1),   (419 3), 0,  1,  5,  7,   10,  2,   {3 1117}
 3353,   11121012,    110100011001,   12,   (419 3),  (1677 1), 2,  3,  0,  9,   12,  4,   {7 479}
 3355,   11121021,    110100011011,   31,  (1677 1),   (839 2), 1,  0,  2,  0,   1,   6,   {5 11 61}
 3357,   11121100,    110100011101,   29,   (839 2),  (1679 1), 0,  2,  4,  2,   3,   8,   {3 373}
 3359,   11121102,    110100011111,   48,  (1679 1),   (105 5), 2,  4,  6,  4,   5,   10,  {3359}
 3361,   11121111,    110100100001,   12,   (105 5),  (1681 1), 1,  1,  1,  6,   7,   12,  {3361}
 3363,   11121120,    110100100011,   12,  (1681 1),   (841 2), 0,  3,  3,  8,   9,   14,  {3 19 59}
 3365,   11121122,    110100100101,   12,   (841 2),  (1683 1), 2,  0,  5,  10,  11,  16,  {5 673}
 3367,   11121201,    110100100111,   29,  (1683 1),   (421 3), 1,  2,  0,  1,   0,   1,   {7 13 37}
 3369,   11121210,    110100101001,   65,   (421 3),  (1685 1), 0,  4,  2,  3,   2,   3,   {3 1123}
 3371,   11121212,    110100101011,   24,  (1685 1),   (843 2), 2,  1,  4,  5,   4,   5,   {3371}
 3373,   11121221,    110100101101,   12,   (843 2),  (1687 1), 1,  3,  6,  7,   6,   7,   {3373}
 3375,   11122000,    110100101111,   48,  (1687 1),   (211 4), 0,  0,  1,  9,   8,   9,   {3 5}
 3377,   11122002,    110100110001,    9,   (211 4),  (1689 1), 2,  2,  3,  0,   10,  11,  {11 307}
 3379,   11122011,    110100110011,    9,  (1689 1),   (845 2), 1,  4,  5,  2,   12,  13,  {31 109}
 3381,   11122020,    110100110101,   12,   (845 2),  (1691 1), 0,  1,  0,  4,   1,   15,  {3 7 23}
 3383,   11122022,    110100110111,   48,  (1691 1),   (423 3), 2,  3,  2,  6,   3,   0,   {17 199}
 3385,   11122101,    110100111001,   65,   (423 3),  (1693 1), 1,  0,  4,  8,   5,   2,   {5 677}
 3387,   11122110,    110100111011,   12,  (1693 1),   (847 2), 0,  2,  6,  10,  7,   4,   {3 1129}
 3389,   11122112,    110100111101,    9,   (847 2),  (1695 1), 2,  4,  1,  1,   9,   6,   {3389}
 3391,   11122121,    110100111111,   65,  (1695 1),    (53 6), 1,  1,  3,  3,   11,  8,   {3391}
 3393,   11122200,    110101000001,   12,    (53 6),  (1697 1), 0,  3,  5,  5,   0,   10,  {3 13 29}
 3395,   11122202,    110101000011,    9,  (1697 1),   (849 2), 2,  0,  0,  7,   2,   12,  {5 7 97}
 3397,   11122211,    110101000101,   19,   (849 2),  (1699 1), 1,  2,  2,  9,   4,   14,  {43 79}
 3399,   11122220,    110101000111,   41,  (1699 1),   (425 3), 0,  4,  4,  0,   6,   16,  {3 11 103}
 3401,   11122222,    110101001001,   29,   (425 3),  (1701 1), 2,  1,  6,  2,   8,   1,   {19 179}
 3403,   11200001,    110101001011,   19,  (1701 1),   (851 2), 1,  3,  1,  4,   10,  3,   {41 83}
 3405,   11200010,    110101001101,   19,   (851 2),  (1703 1), 0,  0,  3,  6,   12,  5,   {3 5 227}
 3407,   11200012,    110101001111,   19,  (1703 1),   (213 4), 2,  2,  5,  8,   1,   7,   {3407}
