# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
 2686, 2 17 79,       radical,        1,  1,  5,  2,   8,   0,   7,   18,  18,  20
 2687, 2687,          prime,          2,  2,  6,  3,   9,   1,   8,   19,  19,  21
 2688, 2⁷ 3 7,        ,               0,  3,  0,  4,   10,  2,   9,   20,  20,  22
 2689, 2689,          prime,          1,  4,  1,  5,   11,  3,   10,  21,  21,  23
 2690, 2 5 269,       radical,        2,  0,  2,  6,   12,  4,   11,  22,  22,  24
 2691, 3² 13 23,      ,               0,  1,  3,  7,   0,   5,   12,  0,   23,  25
 2692, 2² 673,        ,               1,  2,  4,  8,   1,   6,   13,  1,   24,  26
 2693, 2693,          prime,          2,  3,  5,  9,   2,   7,   14,  2,   25,  27
 2694, 2 3 449,       radical,        0,  4,  6,  10,  3,   8,   15,  3,   26,  28
 2695, 5 7² 11,       ,               1,  0,  0,  0,   4,   9,   16,  4,   27,  29
 2696, 2³ 337,        ,               2,  1,  1,  1,   5,   10,  17,  5,   28,  30
 2697, 3 29 31,       radical,        0,  2,  2,  2,   6,   11,  18,  6,   0,   0
 2698, 2 19 71,       radical,        1,  3,  3,  3,   7,   12,  0,   7,   1,   1
 2699, 2699,          prime,          2,  4,  4,  4,   8,   13,  1,   8,   2,   2
 2700, 2² 3³ 5²,      ,               0,  0,  5,  5,   9,   14,  2,   9,   3,   3
 2701, 37 73,         radical,        1,  1,  6,  6,   10,  15,  3,   10,  4,   4
 2702, 2 7 193,       radical,        2,  2,  0,  7,   11,  16,  4,   11,  5,   5
 2703, 3 17 53,       radical,        0,  3,  1,  8,   12,  0,   5,   12,  6,   6
 2704, 2⁴ 13²,        ,               1,  4,  2,  9,   0,   1,   6,   13,  7,   7
 2705, 5 541,         radical,        2,  0,  3,  10,  1,   2,   7,   14,  8,   8
 2706, 2 3 11 41,     radical,        0,  1,  4,  0,   2,   3,   8,   15,  9,   9
 2707, 2707,          prime,          1,  2,  5,  1,   3,   4,   9,   16,  10,  10
 2708, 2² 677,        ,               2,  3,  6,  2,   4,   5,   10,  17,  11,  11
 2709, 3² 7 43,       ,               0,  4,  0,  3,   5,   6,   11,  18,  12,  12
 2710, 2 5 271,       radical,        1,  0,  1,  4,   6,   7,   12,  19,  13,  13
 2711, 2711,          prime,          2,  1,  2,  5,   7,   8,   13,  20,  14,  14
 2712, 2³ 3 113,      ,               0,  2,  3,  6,   8,   9,   14,  21,  15,  15
 2713, 2713,          prime,          1,  3,  4,  7,   9,   10,  15,  22,  16,  16
 2714, 2 23 59,       radical,        2,  4,  5,  8,   10,  11,  16,  0,   17,  17
 2715, 3 5 181,       radical,        0,  0,  6,  9,   11,  12,  17,  1,   18,  18
 2716, 2² 7 97,       ,               1,  1,  0,  10,  12,  13,  18,  2,   19,  19
 2717, 11 13 19,      radical,        2,  2,  1,  0,   0,   14,  0,   3,   20,  20
 2718, 2 3² 151,      ,               0,  3,  2,  1,   1,   15,  1,   4,   21,  21
 2719, 2719,          prime,          1,  4,  3,  2,   2,   16,  2,   5,   22,  22
 2720, 2⁵ 5 17,       ,               2,  0,  4,  3,   3,   0,   3,   6,   23,  23
 2721, 3 907,         radical,        0,  1,  5,  4,   4,   1,   4,   7,   24,  24
 2722, 2 1361,        radical,        1,  2,  6,  5,   5,   2,   5,   8,   25,  25
 2723, 7 389,         radical,        2,  3,  0,  6,   6,   3,   6,   9,   26,  26
 2724, 2² 3 227,      ,               0,  4,  1,  7,   7,   4,   7,   10,  27,  27
 2725, 5² 109,        ,               1,  0,  2,  8,   8,   5,   8,   11,  28,  28
 2726, 2 29 47,       radical,        2,  1,  3,  9,   9,   6,   9,   12,  0,   29
 2727, 3³ 101,        ,               0,  2,  4,  10,  10,  7,   10,  13,  1,   30
 2728, 2³ 11 31,      ,               1,  3,  5,  0,   11,  8,   11,  14,  2,   0
 2729, 2729,          prime,          2,  4,  6,  1,   12,  9,   12,  15,  3,   1
 2730, 2 3 5 7 13,    radical,        0,  0,  0,  2,   0,   10,  13,  16,  4,   2
 2731, 2731,          prime,          1,  1,  1,  3,   1,   11,  14,  17,  5,   3
 2732, 2² 683,        ,               2,  2,  2,  4,   2,   12,  15,  18,  6,   4
 2733, 3 911,         radical,        0,  3,  3,  5,   3,   13,  16,  19,  7,   5
 2734, 2 1367,        radical,        1,  4,  4,  6,   4,   14,  17,  20,  8,   6
 2735, 5 547,         radical,        2,  0,  5,  7,   5,   15,  18,  21,  9,   7
 2736, 2⁴ 3² 19,      ,               0,  1,  6,  8,   6,   16,  0,   22,  10,  8
 2737, 7 17 23,       radical,        1,  2,  0,  9,   7,   0,   1,   0,   11,  9
 2738, 2 37²,         ,               2,  3,  1,  10,  8,   1,   2,   1,   12,  10
 2739, 3 11 83,       radical,        0,  4,  2,  0,   9,   2,   3,   2,   13,  11
 2740, 2² 5 137,      ,               1,  0,  3,  1,   10,  3,   4,   3,   14,  12
 2741, 2741,          prime,          2,  1,  4,  2,   11,  4,   5,   4,   15,  13
 2742, 2 3 457,       radical,        0,  2,  5,  3,   12,  5,   6,   5,   16,  14
 2743, 13 211,        radical,        1,  3,  6,  4,   0,   6,   7,   6,   17,  15
 2744, 2³ 7³,         radical power,  2,  4,  0,  5,   1,   7,   8,   7,   18,  16
 2745, 3² 5 61,       ,               0,  0,  1,  6,   2,   8,   9,   8,   19,  17
 2746, 2 1373,        radical,        1,  1,  2,  7,   3,   9,   10,  9,   20,  18
 2747, 41 67,         radical,        2,  2,  3,  8,   4,   10,  11,  10,  21,  19
 2748, 2² 3 229,      ,               0,  3,  4,  9,   5,   11,  12,  11,  22,  20
 2749, 2749,          prime,          1,  4,  5,  10,  6,   12,  13,  12,  23,  21
 2750, 2 5³ 11,       ,               2,  0,  6,  0,   7,   13,  14,  13,  24,  22
 2751, 3 7 131,       radical,        0,  1,  0,  1,   8,   14,  15,  14,  25,  23
 2752, 2⁶ 43,         ,               1,  2,  1,  2,   9,   15,  16,  15,  26,  24
 2753, 2753,          prime,          2,  3,  2,  3,   10,  16,  17,  16,  27,  25
 2754, 2 3⁴ 17,       ,               0,  4,  3,  4,   11,  0,   18,  17,  28,  26
 2755, 5 19 29,       radical,        1,  0,  4,  5,   12,  1,   0,   18,  0,   27
 2756, 2² 13 53,      ,               2,  1,  5,  6,   0,   2,   1,   19,  1,   28
 2757, 3 919,         radical,        0,  2,  6,  7,   1,   3,   2,   20,  2,   29
 2758, 2 7 197,       radical,        1,  3,  0,  8,   2,   4,   3,   21,  3,   30
 2759, 31 89,         radical,        2,  4,  1,  9,   3,   5,   4,   22,  4,   0
 2760, 2³ 3 5 23,     ,               0,  0,  2,  10,  4,   6,   5,   0,   5,   1
 2761, 11 251,        radical,        1,  1,  3,  0,   5,   7,   6,   1,   6,   2
 2762, 2 1381,        radical,        2,  2,  4,  1,   6,   8,   7,   2,   7,   3
 2763, 3² 307,        ,               0,  3,  5,  2,   7,   9,   8,   3,   8,   4
 2764, 2² 691,        ,               1,  4,  6,  3,   8,   10,  9,   4,   9,   5
 2765, 5 7 79,        radical,        2,  0,  0,  4,   9,   11,  10,  5,   10,  6
 2766, 2 3 461,       radical,        0,  1,  1,  5,   10,  12,  11,  6,   11,  7
 2767, 2767,          prime,          1,  2,  2,  6,   11,  13,  12,  7,   12,  8
 2768, 2⁴ 173,        ,               2,  3,  3,  7,   12,  14,  13,  8,   13,  9
 2769, 3 13 71,       radical,        0,  4,  4,  8,   0,   15,  14,  9,   14,  10
 2770, 2 5 277,       radical,        1,  0,  5,  9,   1,   16,  15,  10,  15,  11
 2771, 17 163,        radical,        2,  1,  6,  10,  2,   0,   16,  11,  16,  12
 2772, 2² 3² 7 11,    ,               0,  2,  0,  0,   3,   1,   17,  12,  17,  13
 2773, 47 59,         radical,        1,  3,  1,  1,   4,   2,   18,  13,  18,  14
 2774, 2 19 73,       radical,        2,  4,  2,  2,   5,   3,   0,   14,  19,  15
 2775, 3 5² 37,       ,               0,  0,  3,  3,   6,   4,   1,   15,  20,  16
 2776, 2³ 347,        ,               1,  1,  4,  4,   7,   5,   2,   16,  21,  17
 2777, 2777,          prime,          2,  2,  5,  5,   8,   6,   3,   17,  22,  18
 2778, 2 3 463,       radical,        0,  3,  6,  6,   9,   7,   4,   18,  23,  19
 2779, 7 397,         radical,        1,  4,  0,  7,   10,  8,   5,   19,  24,  20
 2780, 2² 5 139,      ,               2,  0,  1,  8,   11,  9,   6,   20,  25,  21
 2781, 3³ 103,        ,               0,  1,  2,  9,   12,  10,  7,   21,  26,  22
 2782, 2 13 107,      radical,        1,  2,  3,  10,  0,   11,  8,   22,  27,  23
 2783, 11² 23,        ,               2,  3,  4,  0,   1,   12,  9,   0,   28,  24
 2784, 2⁵ 3 29,       ,               0,  4,  5,  1,   2,   13,  10,  1,   0,   25
 2785, 5 557,         radical,        1,  0,  6,  2,   3,   14,  11,  2,   1,   26
 2786, 2 7 199,       radical,        2,  1,  0,  3,   4,   15,  12,  3,   2,   27
 2787, 3 929,         radical,        0,  2,  1,  4,   5,   16,  13,  4,   3,   28
 2788, 2² 17 41,      ,               1,  3,  2,  5,   6,   0,   14,  5,   4,   29
 2789, 2789,          prime,          2,  4,  3,  6,   7,   1,   15,  6,   5,   30
 2790, 2 3² 5 31,     ,               0,  0,  4,  7,   8,   2,   16,  7,   6,   0
 2791, 2791,          prime,          1,  1,  5,  8,   9,   3,   17,  8,   7,   1
 2792, 2³ 349,        ,               2,  2,  6,  9,   10,  4,   18,  9,   8,   2
 2793, 3 7² 19,       ,               0,  3,  0,  10,  11,  5,   0,   10,  9,   3
 2794, 2 11 127,      radical,        1,  4,  1,  0,   12,  6,   1,   11,  10,  4
 2795, 5 13 43,       radical,        2,  0,  2,  1,   0,   7,   2,   12,  11,  5
 2796, 2² 3 233,      ,               0,  1,  3,  2,   1,   8,   3,   13,  12,  6
 2797, 2797,          prime,          1,  2,  4,  3,   2,   9,   4,   14,  13,  7
 2798, 2 1399,        radical,        2,  3,  5,  4,   3,   10,  5,   15,  14,  8
 2799, 3² 311,        ,               0,  4,  6,  5,   4,   11,  6,   16,  15,  9
 2800, 2⁴ 5² 7,       ,               1,  0,  0,  6,   5,   12,  7,   17,  16,  10
 2801, 2801,          prime,          2,  1,  1,  7,   6,   13,  8,   18,  17,  11
 2802, 2 3 467,       radical,        0,  2,  2,  8,   7,   14,  9,   19,  18,  12
 2803, 2803,          prime,          1,  3,  3,  9,   8,   15,  10,  20,  19,  13
 2804, 2² 701,        ,               2,  4,  4,  10,  9,   16,  11,  21,  20,  14
 2805, 3 5 11 17,     radical,        0,  0,  5,  0,   10,  0,   12,  22,  21,  15
 2806, 2 23 61,       radical,        1,  1,  6,  1,   11,  1,   13,  0,   22,  16
 2807, 7 401,         radical,        2,  2,  0,  2,   12,  2,   14,  1,   23,  17
 2808, 2³ 3³ 13,      ,               0,  3,  1,  3,   0,   3,   15,  2,   24,  18
 2809, 53²,           prime power,    1,  4,  2,  4,   1,   4,   16,  3,   25,  19
 2810, 2 5 281,       radical,        2,  0,  3,  5,   2,   5,   17,  4,   26,  20
 2811, 3 937,         radical,        0,  1,  4,  6,   3,   6,   18,  5,   27,  21
 2812, 2² 19 37,      ,               1,  2,  5,  7,   4,   7,   0,   6,   28,  22
 2813, 29 97,         radical,        2,  3,  6,  8,   5,   8,   1,   7,   0,   23
 2814, 2 3 7 67,      radical,        0,  4,  0,  9,   6,   9,   2,   8,   1,   24
 2815, 5 563,         radical,        1,  0,  1,  10,  7,   10,  3,   9,   2,   25
 2816, 2⁸ 11,         ,               2,  1,  2,  0,   8,   11,  4,   10,  3,   26
 2817, 3² 313,        ,               0,  2,  3,  1,   9,   12,  5,   11,  4,   27
 2818, 2 1409,        radical,        1,  3,  4,  2,   10,  13,  6,   12,  5,   28
 2819, 2819,          prime,          2,  4,  5,  3,   11,  14,  7,   13,  6,   29
 2820, 2² 3 5 47,     ,               0,  0,  6,  4,   12,  15,  8,   14,  7,   30
 2821, 7 13 31,       radical,        1,  1,  0,  5,   0,   16,  9,   15,  8,   0
 2822, 2 17 83,       radical,        2,  2,  1,  6,   1,   0,   10,  16,  9,   1
 2823, 3 941,         radical,        0,  3,  2,  7,   2,   1,   11,  17,  10,  2
 2824, 2³ 353,        ,               1,  4,  3,  8,   3,   2,   12,  18,  11,  3
 2825, 5² 113,        ,               2,  0,  4,  9,   4,   3,   13,  19,  12,  4
 2826, 2 3² 157,      ,               0,  1,  5,  10,  5,   4,   14,  20,  13,  5
 2827, 11 257,        radical,        1,  2,  6,  0,   6,   5,   15,  21,  14,  6
 2828, 2² 7 101,      ,               2,  3,  0,  1,   7,   6,   16,  22,  15,  7
 2829, 3 23 41,       radical,        0,  4,  1,  2,   8,   7,   17,  0,   16,  8
 2830, 2 5 283,       radical,        1,  0,  2,  3,   9,   8,   18,  1,   17,  9
 2831, 19 149,        radical,        2,  1,  3,  4,   10,  9,   0,   2,   18,  10
 2832, 2⁴ 3 59,       ,               0,  2,  4,  5,   11,  10,  1,   3,   19,  11
 2833, 2833,          prime,          1,  3,  5,  6,   12,  11,  2,   4,   20,  12
 2834, 2 13 109,      radical,        2,  4,  6,  7,   0,   12,  3,   5,   21,  13
 2835, 3⁴ 5 7,        ,               0,  0,  0,  8,   1,   13,  4,   6,   22,  14
 2836, 2² 709,        ,               1,  1,  1,  9,   2,   14,  5,   7,   23,  15
 2837, 2837,          prime,          2,  2,  2,  10,  3,   15,  6,   8,   24,  16
 2838, 2 3 11 43,     radical,        0,  3,  3,  0,   4,   16,  7,   9,   25,  17
 2839, 17 167,        radical,        1,  4,  4,  1,   5,   0,   8,   10,  26,  18
 2840, 2³ 5 71,       ,               2,  0,  5,  2,   6,   1,   9,   11,  27,  19
 2841, 3 947,         radical,        0,  1,  6,  3,   7,   2,   10,  12,  28,  20
 2842, 2 7² 29,       ,               1,  2,  0,  4,   8,   3,   11,  13,  0,   21
 2843, 2843,          prime,          2,  3,  1,  5,   9,   4,   12,  14,  1,   22
 2844, 2² 3² 79,      ,               0,  4,  2,  6,   10,  5,   13,  15,  2,   23
 2845, 5 569,         radical,        1,  0,  3,  7,   11,  6,   14,  16,  3,   24
 2846, 2 1423,        radical,        2,  1,  4,  8,   12,  7,   15,  17,  4,   25
 2847, 3 13 73,       radical,        0,  2,  5,  9,   0,   8,   16,  18,  5,   26
 2848, 2⁵ 89,         ,               1,  3,  6,  10,  1,   9,   17,  19,  6,   27
 2849, 7 11 37,       radical,        2,  4,  0,  0,   2,   10,  18,  20,  7,   28
 2850, 2 3 5² 19,     ,               0,  0,  1,  1,   3,   11,  0,   21,  8,   29
 2851, 2851,          prime,          1,  1,  2,  2,   4,   12,  1,   22,  9,   30
 2852, 2² 23 31,      ,               2,  2,  3,  3,   5,   13,  2,   0,   10,  0
 2853, 3² 317,        ,               0,  3,  4,  4,   6,   14,  3,   1,   11,  1
 2854, 2 1427,        radical,        1,  4,  5,  5,   7,   15,  4,   2,   12,  2
 2855, 5 571,         radical,        2,  0,  6,  6,   8,   16,  5,   3,   13,  3
 2856, 2³ 3 7 17,     ,               0,  1,  0,  7,   9,   0,   6,   4,   14,  4
 2857, 2857,          prime,          1,  2,  1,  8,   10,  1,   7,   5,   15,  5
 2858, 2 1429,        radical,        2,  3,  2,  9,   11,  2,   8,   6,   16,  6
 2859, 3 953,         radical,        0,  4,  3,  10,  12,  3,   9,   7,   17,  7
 2860, 2² 5 11 13,    ,               1,  0,  4,  0,   0,   4,   10,  8,   18,  8
 2861, 2861,          prime,          2,  1,  5,  1,   1,   5,   11,  9,   19,  9
 2862, 2 3³ 53,       ,               0,  2,  6,  2,   2,   6,   12,  10,  20,  10
 2863, 7 409,         radical,        1,  3,  0,  3,   3,   7,   13,  11,  21,  11
 2864, 2⁴ 179,        ,               2,  4,  1,  4,   4,   8,   14,  12,  22,  12
 2865, 3 5 191,       radical,        0,  0,  2,  5,   5,   9,   15,  13,  23,  13
 2866, 2 1433,        radical,        1,  1,  3,  6,   6,   10,  16,  14,  24,  14
 2867, 47 61,         radical,        2,  2,  4,  7,   7,   11,  17,  15,  25,  15
 2868, 2² 3 239,      ,               0,  3,  5,  8,   8,   12,  18,  16,  26,  16
 2869, 19 151,        radical,        1,  4,  6,  9,   9,   13,  0,   17,  27,  17
 2870, 2 5 7 41,      radical,        2,  0,  0,  10,  10,  14,  1,   18,  28,  18
 2871, 3² 11 29,      ,               0,  1,  1,  0,   11,  15,  2,   19,  0,   19
 2872, 2³ 359,        ,               1,  2,  2,  1,   12,  16,  3,   20,  1,   20
 2873, 13² 17,        ,               2,  3,  3,  2,   0,   0,   4,   21,  2,   21
 2874, 2 3 479,       radical,        0,  4,  4,  3,   1,   1,   5,   22,  3,   22
 2875, 5³ 23,         ,               1,  0,  5,  4,   2,   2,   6,   0,   4,   23
 2876, 2² 719,        ,               2,  1,  6,  5,   3,   3,   7,   1,   5,   24
 2877, 3 7 137,       radical,        0,  2,  0,  6,   4,   4,   8,   2,   6,   25
 2878, 2 1439,        radical,        1,  3,  1,  7,   5,   5,   9,   3,   7,   26
 2879, 2879,          prime,          2,  4,  2,  8,   6,   6,   10,  4,   8,   27
 2880, 2⁶ 3² 5,       ,               0,  0,  3,  9,   7,   7,   11,  5,   9,   28
 2881, 43 67,         radical,        1,  1,  4,  10,  8,   8,   12,  6,   10,  29
 2882, 2 11 131,      radical,        2,  2,  5,  0,   9,   9,   13,  7,   11,  30
 2883, 3 31²,         ,               0,  3,  6,  1,   10,  10,  14,  8,   12,  0
 2884, 2² 7 103,      ,               1,  4,  0,  2,   11,  11,  15,  9,   13,  1
 2885, 5 577,         radical,        2,  0,  1,  3,   12,  12,  16,  10,  14,  2
 2886, 2 3 13 37,     radical,        0,  1,  2,  4,   0,   13,  17,  11,  15,  3
 2887, 2887,          prime,          1,  2,  3,  5,   1,   14,  18,  12,  16,  4
 2888, 2³ 19²,        ,               2,  3,  4,  6,   2,   15,  0,   13,  17,  5
 2889, 3³ 107,        ,               0,  4,  5,  7,   3,   16,  1,   14,  18,  6
 2890, 2 5 17²,       ,               1,  0,  6,  8,   4,   0,   2,   15,  19,  7
 2891, 7² 59,         ,               2,  1,  0,  9,   5,   1,   3,   16,  20,  8
 2892, 2² 3 241,      ,               0,  2,  1,  10,  6,   2,   4,   17,  21,  9
 2893, 11 263,        radical,        1,  3,  2,  0,   7,   3,   5,   18,  22,  10
 2894, 2 1447,        radical,        2,  4,  3,  1,   8,   4,   6,   19,  23,  11
 2895, 3 5 193,       radical,        0,  0,  4,  2,   9,   5,   7,   20,  24,  12
 2896, 2⁴ 181,        ,               1,  1,  5,  3,   10,  6,   8,   21,  25,  13
 2897, 2897,          prime,          2,  2,  6,  4,   11,  7,   9,   22,  26,  14
 2898, 2 3² 7 23,     ,               0,  3,  0,  5,   12,  8,   10,  0,   27,  15
 2899, 13 223,        radical,        1,  4,  1,  6,   0,   9,   11,  1,   28,  16
 2900, 2² 5² 29,      ,               2,  0,  2,  7,   1,   10,  12,  2,   0,   17
 2901, 3 967,         radical,        0,  1,  3,  8,   2,   11,  13,  3,   1,   18
 2902, 2 1451,        radical,        1,  2,  4,  9,   3,   12,  14,  4,   2,   19
 2903, 2903,          prime,          2,  3,  5,  10,  4,   13,  15,  5,   3,   20
 2904, 2³ 3 11²,      ,               0,  4,  6,  0,   5,   14,  16,  6,   4,   21
 2905, 5 7 83,        radical,        1,  0,  0,  1,   6,   15,  17,  7,   5,   22
 2906, 2 1453,        radical,        2,  1,  1,  2,   7,   16,  18,  8,   6,   23
 2907, 3² 17 19,      ,               0,  2,  2,  3,   8,   0,   0,   9,   7,   24
 2908, 2² 727,        ,               1,  3,  3,  4,   9,   1,   1,   10,  8,   25
 2909, 2909,          prime,          2,  4,  4,  5,   10,  2,   2,   11,  9,   26
 2910, 2 3 5 97,      radical,        0,  0,  5,  6,   11,  3,   3,   12,  10,  27
 2911, 41 71,         radical,        1,  1,  6,  7,   12,  4,   4,   13,  11,  28
 2912, 2⁵ 7 13,       ,               2,  2,  0,  8,   0,   5,   5,   14,  12,  29
 2913, 3 971,         radical,        0,  3,  1,  9,   1,   6,   6,   15,  13,  30
 2914, 2 31 47,       radical,        1,  4,  2,  10,  2,   7,   7,   16,  14,  0
 2915, 5 11 53,       radical,        2,  0,  3,  0,   3,   8,   8,   17,  15,  1
 2916, 2² 3⁶,         ,               0,  1,  4,  1,   4,   9,   9,   18,  16,  2
 2917, 2917,          prime,          1,  2,  5,  2,   5,   10,  10,  19,  17,  3
 2918, 2 1459,        radical,        2,  3,  6,  3,   6,   11,  11,  20,  18,  4
 2919, 3 7 139,       radical,        0,  4,  0,  4,   7,   12,  12,  21,  19,  5
 2920, 2³ 5 73,       ,               1,  0,  1,  5,   8,   13,  13,  22,  20,  6
 2921, 23 127,        radical,        2,  1,  2,  6,   9,   14,  14,  0,   21,  7
 2922, 2 3 487,       radical,        0,  2,  3,  7,   10,  15,  15,  1,   22,  8
 2923, 37 79,         radical,        1,  3,  4,  8,   11,  16,  16,  2,   23,  9
 2924, 2² 17 43,      ,               2,  4,  5,  9,   12,  0,   17,  3,   24,  10
 2925, 3² 5² 13,      ,               0,  0,  6,  10,  0,   1,   18,  4,   25,  11
 2926, 2 7 11 19,     radical,        1,  1,  0,  0,   1,   2,   0,   5,   26,  12
 2927, 2927,          prime,          2,  2,  1,  1,   2,   3,   1,   6,   27,  13
 2928, 2⁴ 3 61,       ,               0,  3,  2,  2,   3,   4,   2,   7,   28,  14
 2929, 29 101,        radical,        1,  4,  3,  3,   4,   5,   3,   8,   0,   15
 2930, 2 5 293,       radical,        2,  0,  4,  4,   5,   6,   4,   9,   1,   16
 2931, 3 977,         radical,        0,  1,  5,  5,   6,   7,   5,   10,  2,   17
 2932, 2² 733,        ,               1,  2,  6,  6,   7,   8,   6,   11,  3,   18
 2933, 7 419,         radical,        2,  3,  0,  7,   8,   9,   7,   12,  4,   19
 2934, 2 3² 163,      ,               0,  4,  1,  8,   9,   10,  8,   13,  5,   20
 2935, 5 587,         radical,        1,  0,  2,  9,   10,  11,  9,   14,  6,   21
 2936, 2³ 367,        ,               2,  1,  3,  10,  11,  12,  10,  15,  7,   22
 2937, 3 11 89,       radical,        0,  2,  4,  0,   12,  13,  11,  16,  8,   23
 2938, 2 13 113,      radical,        1,  3,  5,  1,   0,   14,  12,  17,  9,   24
 2939, 2939,          prime,          2,  4,  6,  2,   1,   15,  13,  18,  10,  25
 2940, 2² 3 5 7²,     ,               0,  0,  0,  3,   2,   16,  14,  19,  11,  26
 2941, 17 173,        radical,        1,  1,  1,  4,   3,   0,   15,  20,  12,  27
 2942, 2 1471,        radical,        2,  2,  2,  5,   4,   1,   16,  21,  13,  28
 2943, 3³ 109,        ,               0,  3,  3,  6,   5,   2,   17,  22,  14,  29
 2944, 2⁷ 23,         ,               1,  4,  4,  7,   6,   3,   18,  0,   15,  30
 2945, 5 19 31,       radical,        2,  0,  5,  8,   7,   4,   0,   1,   16,  0
 2946, 2 3 491,       radical,        0,  1,  6,  9,   8,   5,   1,   2,   17,  1
 2947, 7 421,         radical,        1,  2,  0,  10,  9,   6,   2,   3,   18,  2
 2948, 2² 11 67,      ,               2,  3,  1,  0,   10,  7,   3,   4,   19,  3
 2949, 3 983,         radical,        0,  4,  2,  1,   11,  8,   4,   5,   20,  4
 2950, 2 5² 59,       ,               1,  0,  3,  2,   12,  9,   5,   6,   21,  5
 2951, 13 227,        radical,        2,  1,  4,  3,   0,   10,  6,   7,   22,  6
 2952, 2³ 3² 41,      ,               0,  2,  5,  4,   1,   11,  7,   8,   23,  7
 2953, 2953,          prime,          1,  3,  6,  5,   2,   12,  8,   9,   24,  8
 2954, 2 7 211,       radical,        2,  4,  0,  6,   3,   13,  9,   10,  25,  9
 2955, 3 5 197,       radical,        0,  0,  1,  7,   4,   14,  10,  11,  26,  10
 2956, 2² 739,        ,               1,  1,  2,  8,   5,   15,  11,  12,  27,  11
 2957, 2957,          prime,          2,  2,  3,  9,   6,   16,  12,  13,  28,  12
 2958, 2 3 17 29,     radical,        0,  3,  4,  10,  7,   0,   13,  14,  0,   13
 2959, 11 269,        radical,        1,  4,  5,  0,   8,   1,   14,  15,  1,   14
 2960, 2⁴ 5 37,       ,               2,  0,  6,  1,   9,   2,   15,  16,  2,   15
 2961, 3² 7 47,       ,               0,  1,  0,  2,   10,  3,   16,  17,  3,   16
 2962, 2 1481,        radical,        1,  2,  1,  3,   11,  4,   17,  18,  4,   17
 2963, 2963,          prime,          2,  3,  2,  4,   12,  5,   18,  19,  5,   18
 2964, 2² 3 13 19,    ,               0,  4,  3,  5,   0,   6,   0,   20,  6,   19
 2965, 5 593,         radical,        1,  0,  4,  6,   1,   7,   1,   21,  7,   20
 2966, 2 1483,        radical,        2,  1,  5,  7,   2,   8,   2,   22,  8,   21
 2967, 3 23 43,       radical,        0,  2,  6,  8,   3,   9,   3,   0,   9,   22
 2968, 2³ 7 53,       ,               1,  3,  0,  9,   4,   10,  4,   1,   10,  23
 2969, 2969,          prime,          2,  4,  1,  10,  5,   11,  5,   2,   11,  24
 2970, 2 3³ 5 11,     ,               0,  0,  2,  0,   6,   12,  6,   3,   12,  25
 2971, 2971,          prime,          1,  1,  3,  1,   7,   13,  7,   4,   13,  26
 2972, 2² 743,        ,               2,  2,  4,  2,   8,   14,  8,   5,   14,  27
 2973, 3 991,         radical,        0,  3,  5,  3,   9,   15,  9,   6,   15,  28
 2974, 2 1487,        radical,        1,  4,  6,  4,   10,  16,  10,  7,   16,  29
 2975, 5² 7 17,       ,               2,  0,  0,  5,   11,  0,   11,  8,   17,  30
 2976, 2⁵ 3 31,       ,               0,  1,  1,  6,   12,  1,   12,  9,   18,  0
 2977, 13 229,        radical,        1,  2,  2,  7,   0,   2,   13,  10,  19,  1
 2978, 2 1489,        radical,        2,  3,  3,  8,   1,   3,   14,  11,  20,  2
 2979, 3² 331,        ,               0,  4,  4,  9,   2,   4,   15,  12,  21,  3
 2980, 2² 5 149,      ,               1,  0,  5,  10,  3,   5,   16,  13,  22,  4
 2981, 11 271,        radical,        2,  1,  6,  0,   4,   6,   17,  14,  23,  5
 2982, 2 3 7 71,      radical,        0,  2,  0,  1,   5,   7,   18,  15,  24,  6
 2983, 19 157,        radical,        1,  3,  1,  2,   6,   8,   0,   16,  25,  7
 2984, 2³ 373,        ,               2,  4,  2,  3,   7,   9,   1,   17,  26,  8
 2985, 3 5 199,       radical,        0,  0,  3,  4,   8,   10,  2,   18,  27,  9
 2986, 2 1493,        radical,        1,  1,  4,  5,   9,   11,  3,   19,  28,  10
 2987, 29 103,        radical,        2,  2,  5,  6,   10,  12,  4,   20,  0,   11
 2988, 2² 3² 83,      ,               0,  3,  6,  7,   11,  13,  5,   21,  1,   12
 2989, 7² 61,         ,               1,  4,  0,  8,   12,  14,  6,   22,  2,   13
 2990, 2 5 13 23,     radical,        2,  0,  1,  9,   0,   15,  7,   0,   3,   14
 2991, 3 997,         radical,        0,  1,  2,  10,  1,   16,  8,   1,   4,   15
 2992, 2⁴ 11 17,      ,               1,  2,  3,  0,   2,   0,   9,   2,   5,   16
 2993, 41 73,         radical,        2,  3,  4,  1,   3,   1,   10,  3,   6,   17
 2994, 2 3 499,       radical,        0,  4,  5,  2,   4,   2,   11,  4,   7,   18
 2995, 5 599,         radical,        1,  0,  6,  3,   5,   3,   12,  5,   8,   19
 2996, 2² 7 107,      ,               2,  1,  0,  4,   6,   4,   13,  6,   9,   20
 2997, 3⁴ 37,         ,               0,  2,  1,  5,   7,   5,   14,  7,   10,  21
