# `n`           a positive integer
# `factorzig`   the prime factors of n, indented by distance from the nearest prime
# `hsum`        the harmonic sum, the sum of the reciprocals of the prime factors of n
# `pi`          the prime counting function π(n), the number of primes less than or equal to n
# `piest`       an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
# `riemannr`    the Riemann R function R(n)
# `riemannli`   the logarithmic integral Li(n)
# `cheby`       the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
# `chebypow`    the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
# `vonmangoldt` the von Mangoldt function of n, Λ(n)
# `numdiv`      the number of divisors of n, τ(n)
# `sumdiv`      the sum of divisors of n, σ(n)
# `eulertot`    the Euler totient of n, φ(n)
# `carmichael`  the Carmichael function of n, λ(n)
# `dedekind`    the Dedekind ψ(n) function
# `mob`         the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
# `numfacs`     the number of distinct prime factors of n, ω(n)
# `totfacs`     the total number of prime factors of n, counting multiplicity, Ω(n)
# `liouville`   the Liouville function of n, λ(n) = (-1)^Ω(n)
# `mertens`     the Mertens function M(n)
# `m*`          the prime residues of n modulo a set of primes
# `psym`        the symmetric primes at equal offsets around n
# `rad`         the radical of n, the product of its unique prime factors
# `mask`        the mask of prime factors (radical) of n, as a string

n,     factorzig,          hsum,     π,    π~,       R,        Li,       θ,        ψ,         Λ,      τ,   σ,     φ,     λ,     Dψ,    μ,   ω,  Ω,  λ,   M,    m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                                              rad,   mask
  533,         13⋅41,       0.10131,   99,  100.975,   99.439,  107.077,  499.523,   562.926,  0.000,   4,   588,   480,   120,   588,   1,  2,  2,   1,   -1,  1,  2,  3,  1,   5,   0,   6,   1,   4,  11,   6, 24 30 54 66 84 114 144 150 186 240 264 276 …,        533,      X      X
  534,        2⋅3⋅89,       0.84457,   99,  101.129,   99.594,  107.236,  499.523,   563.926,  0.000,   8,  1080,   176,    88,  1080,  -1,  3,  3,  -1,   -2,  0,  0,  4,  2,   6,   1,   7,   2,   5,  12,   7, 13 35 43 67 73 85 113 125 167 175 185 217 …,         534, XX                     X
  535,       5⋅107,         0.20935,   99,  101.282,   99.749,  107.395,  499.523,   564.926,  0.000,   4,   648,   424,   212,   647,   1,  2,  2,   1,   -1,  1,  1,  0,  3,   7,   2,   8,   3,   6,  13,   8, 12 36 72 78 96 126 138 156 198 204 222 252 …,        535,   X                        X
  536,      2³⋅67,          0.51493,   99,  101.436,   99.904,  107.554,  499.523,   565.926,  0.000,   8,  1020,   264,    66,   816,   0,  2,  4,   1,   -1,  0,  2,  1,  4,   8,   3,   9,   4,   7,  14,   9, 27 33 57 105 117 147 183 225 273 285 303 345 …,      134, X                 X
  537,     3⋅179,           0.33892,   99,  101.589,  100.058,  107.713,  499.523,   566.926,  0.000,   4,   720,   356,   178,   720,   1,  2,  2,   1,    0,  1,  0,  2,  5,   9,   4,  10,   5,   8,  15,  10, 34 50 70 76 80 94 104 106 116 136 140 154 …,         537,  X                                      X
  538,    2⋅269,            0.50372,   99,  101.743,  100.213,  107.872,  499.523,   567.926,  0.000,   4,   810,   268,   268,   809,   1,  2,  2,   1,    1,  0,  1,  3,  6,  10,   5,  11,   6,   9,  16,  11, 39 75 81 105 171 189 201 231 315 339 345 381 …,      538, X                                                       X
  539,   7²⋅11,             0.23377,   99,  101.896,  100.368,  108.031,  499.523,   568.926,  0.000,   6,   684,   420,   210,   671,   0,  2,  3,  -1,    1,  1,  2,  4,  0,   0,   6,  12,   7,  10,  17,  12, 18 30 48 60 78 108 120 138 180 222 258 270 …,         77,    XX
  540,  2²⋅3³⋅5,            1.03333,   99,  102.049,  100.522,  108.190,  499.523,   569.926,  0.000,  24,  1680,   144,    36,  1296,   0,  3,  6,   1,    1,  0,  0,  0,  1,   1,   7,  13,   8,  11,  18,  13, 17 31 37 53 61 73 77 79 91 101 107 119 …,             30, XXX
  541, 541,                 0.00185,  100,  102.202,  100.677,  108.349,  505.816,   577.220,  6.293,   2,   542,   540,   540,   542,  -1,  1,  1,  -1,    0,  1,  1,  1,  2,   2,   8,  14,   9,  12,  19,  14, 78 102 120 132 168 192 210 228 270 312 318 342 …,    541,                                                                                                    X
  542,  2⋅271,              0.50369,  100,  102.356,  100.831,  108.508,  505.816,   571.926,  0.000,   4,   816,   270,   270,   816,   1,  2,  2,   1,    1,  0,  2,  2,  3,   3,   9,  15,  10,  13,  20,  15, 21 51 75 99 111 141 159 231 279 285 315 345 …,       542, X                                                        X
  543,   3⋅181,             0.33886,  100,  102.509,  100.986,  108.667,  505.816,   572.926,  0.000,   4,   728,   360,   180,   728,   1,  2,  2,   1,    2,  1,  0,  3,  4,   4,  10,  16,  11,  14,  21,  16, 20 34 44 56 64 76 100 104 110 134 176 184 …,         543,  X                                       X
  544,    2⁵⋅17,            0.55882,  100,  102.662,  101.140,  108.826,  505.816,   573.926,  0.000,  12,  1134,   256,    16,   864,   0,  2,  6,   1,    2,  0,  1,  4,  5,   5,  11,   0,  12,  15,  22,  17, 3 57 87 147 165 195 207 213 267 315 333 363 …,        34, X     X
  545,   5⋅109,             0.20917,  100,  102.815,  101.294,  108.984,  505.816,   574.926,  0.000,   4,   660,   432,   108,   659,   1,  2,  2,   1,    3,  1,  2,  0,  6,   6,  12,   1,  13,  16,  23,  18, 24 42 54 96 102 114 156 198 228 252 264 276 …,       545,   X                         X
  546,  2⋅3⋅7⋅13,           1.05311,  100,  102.968,  101.449,  109.143,  505.816,   575.926,  0.000,  16,  1344,   144,    12,  1343,   1,  4,  4,   1,    4,  0,  0,  1,  0,   7,   0,   2,  14,  17,  24,  19, 23 25 47 55 67 85 97 107 113 115 127 137 …,          546, XX X X
  547, 547,                 0.00183,  101,  103.121,  101.603,  109.302,  512.121,   583.231,  6.304,   2,   548,   546,   546,   548,  -1,  1,  1,  -1,    3,  1,  1,  2,  1,   8,   1,   3,  15,  18,  25,  20, 24 60 84 114 126 180 210 240 264 276 306 336 …,      547,                                                                                                     X
  548,  2²⋅137,             0.50730,  101,  103.274,  101.757,  109.460,  512.121,   577.926,  0.000,   6,   966,   272,   136,   828,   0,  2,  3,  -1,    3,  0,  2,  3,  2,   9,   2,   4,  16,  19,  26,  21, 39 45 69 99 105 129 195 279 291 309 315 381 …,       274, X                               X
  549,   3²⋅61,             0.34973,  101,  103.427,  101.912,  109.619,  512.121,   578.926,  0.000,   6,   806,   360,    60,   744,   0,  2,  3,  -1,    3,  1,  0,  4,  3,  10,   3,   5,  17,  20,  27,  22, 8 28 50 58 70 82 92 110 128 152 160 170 …,           183,  X               X
  550,    2⋅5²⋅11,          0.79091,  101,  103.580,  102.066,  109.777,  512.121,   579.926,  0.000,  12,  1116,   200,    20,  1079,   0,  3,  4,   1,    3,  0,  1,  0,  4,   0,   4,   6,  18,  21,  28,  23, 27 51 63 93 111 141 177 183 201 219 237 273 …,       110, X X X
  551,     19⋅29,           0.08711,  101,  103.733,  102.220,  109.936,  512.121,   580.926,  0.000,   4,   600,   504,   252,   600,   1,  2,  2,   1,    4,  1,  2,  1,  5,   1,   5,   7,   0,  22,   0,  24, 42 48 90 102 108 132 150 168 192 258 270 288 …,      551,        X X
  552,      2³⋅3⋅23,        0.87681,  101,  103.885,  102.374,  110.094,  512.121,   581.926,  0.000,  16,  1440,   176,    22,  1152,   0,  3,  5,  -1,    4,  0,  0,  2,  6,   2,   6,   8,   1,   0,   1,  25, 5 11 49 61 65 89 91 95 109 121 131 199 …,            138, XX      X
  553,     7⋅79,            0.15552,  101,  104.038,  102.528,  110.253,  512.121,   582.926,  0.000,   4,   640,   468,    78,   640,   1,  2,  2,   1,    5,  1,  1,  3,  0,   3,   7,   9,   2,   1,   2,  26, 54 66 90 120 156 174 180 186 204 216 270 276 …,      553,    X                 X
  554,    2⋅277,            0.50361,  101,  104.191,  102.682,  110.411,  512.121,   583.926,  0.000,   4,   834,   276,   276,   834,   1,  2,  2,   1,    6,  0,  2,  4,  1,   4,   8,  10,   3,   2,   3,  27, 33 45 63 87 93 105 123 165 207 243 273 285 …,        554, X                                                         X
  555,   3⋅5⋅37,            0.56036,  101,  104.344,  102.836,  110.569,  512.121,   584.926,  0.000,   8,   912,   288,    36,   911,  -1,  3,  3,  -1,    5,  1,  0,  0,  2,   5,   9,  11,   4,   3,   4,  28, 8 14 32 46 52 64 76 88 92 98 106 122 …,              555,  XX        X
  556,  2²⋅139,             0.50719,  101,  104.496,  102.990,  110.727,  512.121,   585.926,  0.000,   6,   980,   276,   138,   840,   0,  2,  3,  -1,    5,  0,  1,  1,  3,   6,  10,  12,   5,   4,   5,  29, 15 57 117 135 177 183 273 327 363 453 477 483 …,     278, X                                X
  557, 557,                 0.00180,  102,  104.649,  103.144,  110.886,  518.443,   593.249,  6.323,   2,   558,   556,   556,   558,  -1,  1,  1,  -1,    4,  1,  2,  2,  4,   7,  11,  13,   6,   5,   6,  30, 36 90 96 126 204 240 264 300 306 324 330 384 …,      557,                                                                                                      X
  558,  2⋅3²⋅31,            0.86559,  102,  104.801,  103.298,  111.044,  518.443,   587.926,  0.000,  12,  1248,   180,    30,  1152,   0,  3,  4,   1,    4,  0,  0,  3,  5,   8,  12,  14,   7,   6,   7,   0, 11 35 49 55 59 95 101 115 119 125 161 169 …,         186, XX        X
  559,   13⋅43,             0.10018,  102,  104.954,  103.451,  111.202,  518.443,   588.926,  0.000,   4,   616,   504,    84,   615,   1,  2,  2,   1,    5,  1,  1,  4,  6,   9,   0,  15,   8,   7,   8,   1, 12 18 60 72 102 150 180 192 210 228 252 318 …,       559,      X       X
  560,    2⁴⋅5⋅7,           0.84286,  102,  105.106,  103.605,  111.360,  518.443,   589.926,  0.000,  20,  1488,   192,    12,  1152,   0,  3,  6,   1,    5,  0,  2,  0,  0,  10,   1,  16,   9,   8,   9,   2, 3 39 57 81 93 99 117 141 159 201 213 249 …,           70, X XX
  561,   3⋅11⋅17,           0.48307,  102,  105.259,  103.759,  111.518,  518.443,   590.926,  0.000,   8,   864,   320,    80,   863,  -1,  3,  3,  -1,    4,  1,  0,  1,  1,   0,   2,   0,  10,   9,  10,   3, 38 40 52 58 70 82 98 100 112 122 130 140 …,          561,  X  X X
  562,  2⋅281,              0.50356,  102,  105.411,  103.913,  111.676,  518.443,   591.926,  0.000,   4,   846,   280,   280,   846,   1,  2,  2,   1,    5,  0,  1,  2,  2,   1,   3,   1,  11,  10,  11,   4, 15 39 99 129 165 189 195 225 249 291 321 405 …,      562, X                                                          X
  563, 563,                 0.00178,  103,  105.564,  104.066,  111.834,  524.777,   599.260,  6.333,   2,   564,   562,   562,   564,  -1,  1,  1,  -1,    4,  1,  2,  3,  3,   2,   4,   2,  12,  11,  12,   5, 6 54 84 96 114 120 180 210 246 294 300 324 …,        563,                                                                                                       X
  564,  2²⋅3⋅47,            0.85461,  103,  105.716,  104.220,  111.992,  524.777,   593.926,  0.000,  12,  1344,   184,    46,  1152,   0,  3,  4,   1,    4,  0,  0,  4,  4,   3,   5,   3,  13,  12,  13,   6, 7 23 43 55 77 97 145 155 163 175 197 205 …,          282, XX            X
  565,   5⋅113,             0.20885,  103,  105.868,  104.373,  112.150,  524.777,   594.926,  0.000,   4,   684,   448,   112,   684,   1,  2,  2,   1,    5,  1,  1,  0,  5,   4,   6,   4,  14,  13,  14,   7, 42 66 78 108 126 144 168 186 192 258 288 294 …,      565,   X                          X
  566,    2⋅283,            0.50353,  103,  106.020,  104.527,  112.307,  524.777,   595.926,  0.000,   4,   852,   282,   282,   852,   1,  2,  2,   1,    6,  0,  2,  1,  6,   5,   7,   5,  15,  14,  15,   8, 3 75 87 117 135 177 207 255 273 297 315 375 …,       566, X                                                           X
  567,   3⁴⋅7,              0.47619,  103,  106.173,  104.680,  112.465,  524.777,   596.926,  0.000,  10,   968,   324,    54,   864,   0,  2,  5,  -1,    6,  1,  0,  2,  0,   6,   8,   6,  16,  15,  16,   9, 4 10 20 26 46 64 76 80 106 110 124 134 …,             21,  X X
  568,  2³⋅71,              0.51408,  103,  106.325,  104.834,  112.623,  524.777,   597.926,  0.000,   8,  1080,   280,    70,   864,   0,  2,  4,   1,    6,  0,  1,  3,  1,   7,   9,   7,  17,  16,  17,  10, 45 105 159 171 189 201 219 255 261 285 291 339 …,    142, X                  X
  569, 569,                 0.00176,  104,  106.477,  104.987,  112.780,  531.120,   605.270,  6.344,   2,   570,   568,   568,   570,  -1,  1,  1,  -1,    5,  1,  2,  4,  2,   8,  10,   8,  18,  17,  18,  11, 48 78 90 108 150 252 258 288 312 318 342 372 …,      569,                                                                                                        X
  570,  2⋅3⋅5⋅19,           1.08596,  104,  106.629,  105.141,  112.938,  531.120,   599.926,  0.000,  16,  1440,   144,    36,  1440,   1,  4,  4,   1,    6,  0,  0,  0,  3,   9,  11,   9,   0,  18,  19,  12, 1 7 23 29 47 49 61 71 83 91 103 107 …,               570, XXX    X
  571, 571,                 0.00175,  105,  106.781,  105.294,  113.096,  537.468,   607.274,  6.347,   2,   572,   570,   570,   572,  -1,  1,  1,  -1,    5,  1,  1,  1,  4,  10,  12,  10,   1,  19,  20,  13, 30 48 72 138 162 198 240 258 288 348 420 462 …,      571,                                                                                                         X
  572,  2²⋅11⋅13,           0.66783,  105,  106.933,  105.447,  113.253,  537.468,   601.926,  0.000,  12,  1176,   240,    60,  1007,   0,  3,  4,   1,    5,  0,  2,  2,  5,   0,   0,  11,   2,  20,  21,  14, 15 69 81 105 111 129 171 189 225 255 291 309 …,      286, X   XX
  573,   3⋅191,             0.33857,  105,  107.085,  105.601,  113.411,  537.468,   602.926,  0.000,   4,   768,   380,   190,   767,   1,  2,  2,   1,    6,  1,  0,  3,  6,   1,   1,  12,   3,  21,  22,  15, 4 26 70 74 86 110 154 184 200 214 224 236 …,         573,  X                                        X
  574,    2⋅7⋅41,           0.66725,  105,  107.237,  105.754,  113.568,  537.468,   603.926,  0.000,   8,  1008,   240,   120,  1008,  -1,  3,  3,  -1,    5,  0,  1,  4,  0,   2,   2,  13,   4,  22,  23,  16, 3 27 33 87 117 135 153 165 177 195 237 303 …,        574, X  X        X
  575,   5²⋅23,             0.24348,  105,  107.389,  105.907,  113.725,  537.468,   604.926,  0.000,   6,   744,   440,   220,   719,   0,  2,  3,  -1,    5,  1,  2,  0,  1,   3,   3,  14,   5,   0,  24,  17, 12 18 66 72 84 108 126 144 186 222 264 282 …,        115,   X     X
  576,  2⁶⋅3²,              0.83333,  105,  107.541,  106.060,  113.883,  537.468,   605.926,  0.000,  21,  1651,   192,    48,  1152,   0,  2,  8,   1,    5,  0,  0,  1,  2,   4,   4,  15,   6,   1,  25,  18, 55 67 77 85 97 115 133 143 157 167 175 193 …,          6, XX
  577, 577,                 0.00173,  106,  107.693,  106.213,  114.040,  543.826,   613.284,  6.358,   2,   578,   576,   576,   578,  -1,  1,  1,  -1,    4,  1,  1,  2,  3,   5,   5,  16,   7,   2,  26,  19, 30 36 54 114 156 180 210 246 300 306 414 420 …,      577,                                                                                                          X
  578,  2⋅17²,              0.55882,  106,  107.844,  106.366,  114.197,  543.826,   607.926,  0.000,   6,   921,   272,   272,   918,   0,  2,  3,  -1,    4,  0,  2,  3,  4,   6,   6,   0,   8,   3,  27,  20, 9 15 21 69 75 99 195 219 231 261 285 309 …,           34, X     X
  579,   3⋅193,             0.33851,  106,  107.996,  106.519,  114.355,  543.826,   608.926,  0.000,   4,   776,   384,   192,   776,   1,  2,  2,   1,    5,  1,  0,  4,  5,   7,   7,   1,   9,   4,  28,  21, 8 22 38 80 112 122 130 140 148 160 178 182 …,        579,  X                                         X
  580,    2²⋅5⋅29,          0.73448,  106,  108.148,  106.672,  114.512,  543.826,   609.926,  0.000,  12,  1260,   224,    28,  1080,   0,  3,  4,   1,    5,  0,  1,  0,  6,   8,   8,   2,  10,   5,   0,  22, 33 39 81 93 147 159 171 207 231 243 249 273 …,       290, X X      X
  581,     7⋅83,            0.15491,  106,  108.300,  106.825,  114.669,  543.826,   610.926,  0.000,   4,   672,   492,   246,   672,   1,  2,  2,   1,    6,  1,  2,  1,  0,   9,   9,   3,  11,   6,   1,  23, 12 18 60 72 78 102 120 138 162 180 192 228 …,        581,    X                  X
  582,      2⋅3⋅97,         0.84364,  106,  108.451,  106.978,  114.826,  543.826,   611.926,  0.000,   8,  1176,   192,    96,  1176,  -1,  3,  3,  -1,    5,  0,  0,  2,  1,  10,  10,   4,  12,   7,   2,  24, 5 11 19 25 35 59 61 79 91 95 119 151 …,              582, XX                      X
  583,     11⋅53,           0.10978,  106,  108.603,  107.131,  114.983,  543.826,   612.926,  0.000,   4,   648,   520,   260,   647,   1,  2,  2,   1,    6,  1,  1,  3,  2,   0,  11,   5,  13,   8,   3,  25, 36 60 126 144 150 174 186 204 246 270 276 300 …,     583,     X          X
  584,    2³⋅73,            0.51370,  106,  108.754,  107.284,  115.140,  543.826,   613.926,  0.000,   8,  1110,   288,    72,   888,   0,  2,  4,   1,    6,  0,  2,  4,  3,   1,  12,   6,  14,   9,   4,  26, 15 63 75 93 117 135 225 237 273 303 327 345 …,       146, X                   X
  585,   3²⋅5⋅13,           0.61026,  106,  108.906,  107.437,  115.297,  543.826,   614.926,  0.000,  12,  1092,   288,    12,  1007,   0,  3,  4,   1,    6,  1,  0,  0,  4,   2,   0,   7,  15,  10,   5,  27, 8 14 16 22 28 62 76 98 106 124 142 154 …,            195,  XX  X
  586,  2⋅293,              0.50341,  106,  109.057,  107.590,  115.454,  543.826,   615.926,  0.000,   4,   882,   292,   292,   882,   1,  2,  2,   1,    7,  0,  1,  1,  5,   3,   1,   8,  16,  11,   6,  28, 15 45 87 123 147 153 165 237 273 405 423 435 …,      586, X                                                            X
  587, 587,                 0.00170,  107,  109.209,  107.742,  115.611,  550.201,   623.301,  6.375,   2,   588,   586,   586,   587,  -1,  1,  1,  -1,    6,  1,  2,  2,  6,   4,   2,   9,  17,  12,   7,  29, 30 66 96 156 186 234 240 270 276 294 324 354 …,      587,                                                                                                           X
  588,  2²⋅3⋅7²,            0.97619,  107,  109.360,  107.895,  115.768,  550.201,   617.926,  0.000,  18,  1596,   168,    42,  1344,   0,  3,  5,  -1,    6,  0,  0,  3,  0,   5,   3,  10,  18,  13,   8,  30, 11 19 25 31 65 85 89 121 131 139 145 155 …,           42, XX X
  589,   19⋅31,             0.08489,  107,  109.512,  108.048,  115.924,  550.201,   618.926,  0.000,   4,   640,   540,    90,   639,   1,  2,  2,   1,    7,  1,  1,  4,  1,   6,   4,  11,   0,  14,   9,   0, 12 18 42 102 150 168 180 222 240 318 348 378 …,      589,        X  X
  590,    2⋅5⋅59,           0.71695,  107,  109.663,  108.200,  116.081,  550.201,   619.926,  0.000,   8,  1080,   232,   116,  1079,  -1,  3,  3,  -1,    6,  0,  2,  0,  2,   7,   5,  12,   1,  15,  10,   1, 3 27 69 87 111 129 171 207 231 237 273 297 …,        590, X X             X
  591,   3⋅197,             0.33841,  107,  109.814,  108.353,  116.238,  550.201,   620.926,  0.000,   4,   792,   392,   196,   791,   1,  2,  2,   1,    7,  1,  0,  1,  3,   8,   6,  13,   2,  16,  11,   2, 22 28 50 68 70 82 92 100 128 142 148 152 …,          591,  X                                          X
  592,  2⁴⋅37,              0.52703,  107,  109.966,  108.506,  116.395,  550.201,   621.926,  0.000,  10,  1178,   288,    36,   911,   0,  2,  5,  -1,    7,  0,  1,  2,  4,   9,   7,  14,   3,  17,  12,   3, 15 21 51 69 135 159 195 219 261 285 315 399 …,        74, X          X
  593, 593,                 0.00169,  108,  110.117,  108.658,  116.551,  556.586,   629.312,  6.385,   2,   594,   592,   592,   594,  -1,  1,  1,  -1,    6,  1,  2,  3,  5,  10,   8,  15,   4,  18,  13,   4, 6 24 84 90 126 150 204 234 246 336 354 360 …,        593,                                                                                                            X
  594,  2⋅3³⋅11,            0.92424,  108,  110.268,  108.811,  116.708,  556.586,   623.926,  0.000,  16,  1440,   180,    90,  1296,   0,  3,  5,  -1,    6,  0,  0,  4,  6,   0,   9,  16,   5,  19,  14,   5, 7 23 25 37 47 53 107 115 133 145 163 175 …,           66, XX  X
  595,   5⋅7⋅17,            0.40168,  108,  110.419,  108.963,  116.864,  556.586,   624.926,  0.000,   8,   864,   384,    48,   863,  -1,  3,  3,  -1,    5,  1,  1,  0,  0,   1,  10,   0,   6,  20,  15,   6, 18 24 48 96 132 138 156 162 174 216 228 258 …,       595,   XX  X
  596,    2²⋅149,           0.50671,  108,  110.570,  109.115,  117.021,  556.586,   625.926,  0.000,   6,  1050,   296,   148,   900,   0,  2,  3,  -1,    5,  0,  2,  1,  1,   2,  11,   1,   7,  21,  16,   7, 3 87 105 147 165 177 213 243 285 315 333 345 …,      298, X                                 X
  597,   3⋅199,             0.33836,  108,  110.721,  109.268,  117.177,  556.586,   626.926,  0.000,   4,   800,   396,   198,   799,   1,  2,  2,   1,    6,  1,  0,  2,  2,   3,  12,   2,   8,  22,  17,   8, 4 10 20 34 50 56 76 94 130 136 154 164 …,            597,  X                                           X
  598,  2⋅13⋅23,            0.62040,  108,  110.872,  109.420,  117.334,  556.586,   627.926,  0.000,   8,  1008,   264,   132,  1008,  -1,  3,  3,  -1,    5,  0,  1,  3,  3,   4,   0,   3,   9,   0,  18,   9, 21 75 111 135 141 159 189 225 231 261 285 321 …,     598, X    X  X
  599, 599,                 0.00167,  109,  111.023,  109.572,  117.490,  562.981,   635.322,  6.395,   2,   600,   598,   598,   600,  -1,  1,  1,  -1,    4,  1,  2,  4,  4,   5,   1,   4,  10,   1,  19,  10, 42 78 120 198 210 240 282 288 330 342 348 372 …,     599,                                                                                                             X
  600,  2³⋅3⋅5²,            1.03333,  109,  111.174,  109.725,  117.647,  562.981,   629.926,  0.000,  24,  1860,   160,    20,  1440,   0,  3,  6,   1,    4,  0,  0,  0,  5,   6,   2,   5,  11,   2,  20,  11, 1 7 13 31 43 53 59 77 91 101 109 133 …,               30, XXX
  601, 601,                 0.00166,  110,  111.325,  109.877,  117.803,  569.380,   637.325,  6.399,   2,   602,   600,   600,   602,  -1,  1,  1,  -1,    3,  1,  1,  1,  6,   7,   3,   6,  12,   3,  21,  12, 30 60 138 168 222 228 252 318 390 408 420 438 …,     601,                                                                                                              X
  602,  2⋅7⋅43,             0.66611,  110,  111.476,  110.029,  117.959,  569.380,   631.926,  0.000,   8,  1056,   252,    42,  1056,  -1,  3,  3,  -1,    2,  0,  2,  2,  0,   8,   4,   7,  13,   4,  22,  13, 15 39 45 81 99 141 159 171 219 255 285 309 …,        602, X  X         X
  603,   3²⋅67,             0.34826,  110,  111.627,  110.181,  118.115,  569.380,   632.926,  0.000,   6,   884,   396,    66,   816,   0,  2,  3,  -1,    2,  1,  0,  3,  1,   9,   5,   8,  14,   5,  23,  14, 4 10 16 40 56 80 116 124 136 140 154 170 …,          201,  X                X
  604,    2²⋅151,           0.50662,  110,  111.778,  110.333,  118.271,  569.380,   633.926,  0.000,   6,  1064,   300,   150,   912,   0,  2,  3,  -1,    2,  0,  1,  4,  2,  10,   6,   9,  15,   6,  24,  15, 3 27 57 105 147 165 183 207 225 255 273 333 …,       302, X                                  X
  605,   5⋅11²,             0.29091,  110,  111.929,  110.485,  118.428,  569.380,   634.926,  0.000,   6,   798,   440,   220,   791,   0,  2,  3,  -1,    2,  1,  2,  0,  3,   0,   7,  10,  16,   7,  25,  16, 12 36 42 48 96 114 138 156 204 216 222 252 …,         55,   X X
  606,  2⋅3⋅101,            0.84323,  110,  112.079,  110.638,  118.584,  569.380,   635.926,  0.000,   8,  1224,   200,   100,  1224,  -1,  3,  3,  -1,    1,  0,  0,  1,  4,   1,   8,  11,  17,   8,  26,  17, 7 13 35 37 85 103 127 145 163 167 205 217 …,         606, XX                       X
  607, 607,                 0.00165,  111,  112.230,  110.790,  118.740,  575.788,   643.335,  6.409,   2,   608,   606,   606,   608,  -1,  1,  1,  -1,    0,  1,  1,  2,  5,   2,   9,  12,  18,   9,  27,  18, 6 36 66 84 120 144 150 270 276 300 330 384 …,        607,                                                                                                               X
  608,  2⁵⋅19,              0.55263,  111,  112.381,  110.942,  118.896,  575.788,   637.926,  0.000,  12,  1260,   288,    72,   960,   0,  2,  6,   1,    0,  0,  2,  3,  6,   3,  10,  13,   0,  10,  28,  19, 9 39 45 51 165 189 219 249 255 339 345 369 …,         38, X      X
  609,   3⋅7⋅29,            0.51067,  111,  112.531,  111.093,  119.052,  575.788,   638.926,  0.000,   8,   960,   336,    84,   960,  -1,  3,  3,  -1,   -1,  1,  0,  4,  0,   4,  11,  14,   1,  11,   0,  20, 8 10 22 32 38 52 68 100 110 118 130 142 …,           609,  X X     X
  610,    2⋅5⋅61,           0.71639,  111,  112.682,  111.245,  119.208,  575.788,   639.926,  0.000,   8,  1116,   240,    60,  1116,  -1,  3,  3,  -1,   -2,  0,  1,  0,  1,   5,  12,  15,   2,  12,   1,  21, 3 9 33 63 123 147 177 201 213 243 273 297 …,         610, X X              X
  611,   13⋅47,             0.09820,  111,  112.833,  111.397,  119.364,  575.788,   640.926,  0.000,   4,   672,   552,   276,   672,   1,  2,  2,   1,   -1,  1,  2,  1,  2,   6,   0,  16,   3,  13,   2,  22, 42 48 90 108 132 150 162 210 228 252 300 318 …,      611,      X        X
  612,  2²⋅3²⋅17,           0.89216,  111,  112.983,  111.549,  119.520,  575.788,   641.926,  0.000,  18,  1638,   192,    48,  1296,   0,  3,  5,  -1,   -1,  0,  0,  2,  3,   7,   1,   0,   4,  14,   3,  23, 5 19 35 41 49 65 71 89 121 145 149 211 …,            102, XX    X
  613, 613,                 0.00163,  112,  113.134,  111.701,  119.675,  582.207,   649.345,  6.418,   2,   614,   612,   612,   613,  -1,  1,  1,  -1,   -2,  1,  1,  3,  4,   8,   2,   1,   5,  15,   4,  24, 6 114 126 156 174 216 240 246 264 306 384 420 …,     613,                                                                                                                X
  614,  2⋅307,              0.50326,  112,  113.284,  111.853,  119.831,  582.207,   643.926,  0.000,   4,   924,   306,   306,   924,   1,  2,  2,   1,   -1,  0,  2,  4,  5,   9,   3,   2,   6,  16,   5,  25, 27 45 105 147 183 195 213 225 267 297 333 357 …,     614, X                                                             X
  615,   3⋅5⋅41,            0.55772,  112,  113.435,  112.004,  119.987,  582.207,   644.926,  0.000,   8,  1008,   320,    40,  1007,  -1,  3,  3,  -1,   -2,  1,  0,  0,  6,  10,   4,   3,   7,  17,   6,  26, 2 16 28 38 44 46 58 68 94 112 124 128 …,             615,  XX         X
  616,  2³⋅7⋅11,            0.73377,  112,  113.585,  112.156,  120.143,  582.207,   645.926,  0.000,  16,  1440,   240,    30,  1151,   0,  3,  5,  -1,   -2,  0,  1,  1,  0,   0,   5,   4,   8,  18,   7,  27, 3 15 45 75 93 117 153 195 207 237 243 267 …,         154, X  XX
  617, 617,                 0.00162,  113,  113.735,  112.308,  120.298,  588.631,   653.351,  6.425,   2,   618,   616,   616,   618,  -1,  1,  1,  -1,   -3,  1,  2,  2,  1,   1,   6,   5,   9,  19,   8,  28, 24 30 60 126 156 264 270 324 336 354 360 366 …,      617,                                                                                                                 X
  618,  2⋅3⋅103,            0.84304,  113,  113.886,  112.459,  120.454,  588.631,   647.926,  0.000,   8,  1248,   204,   102,  1248,  -1,  3,  3,  -1,   -4,  0,  0,  3,  2,   2,   7,   6,  10,  20,   9,  29, 1 25 41 55 109 115 139 151 155 169 179 209 …,        618, XX                        X
  619, 619,                 0.00162,  114,  114.036,  112.611,  120.609,  595.060,   655.354,  6.428,   2,   620,   618,   618,   620,  -1,  1,  1,  -1,   -5,  1,  1,  4,  3,   3,   8,   7,  11,  21,  10,  30, 12 42 72 120 132 210 240 288 348 378 390 420 …,      619,                                                                                                                  X
